hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,arrival_date_week_number,stays_in_week_nights,stays_in_weekend_nights,adults,children,babies,meal,country,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
Mountain View Lodge,FALSO,25,2018,4,6,13,19,6,7,,4,BB,,FALSO,10,,G,G,10,Credit card deposit,1,Contract,VERDADERO,2,Canceled,11.07.2017,Cher Woodier,cwoodierb@nasa.gov,(946) 123-0208,3561803868238780
Mountain View Lodge,FALSO,21,2017,3,13,10,8,2,5,3,4,BB,Burkina Faso,FALSO,2,6,D,D,3,No deposit,2,Transient,VERDADERO,7,No-Show,06/01/2017,Alameda Tomasik,atomasikc@huffingtonpost.com,(885) 456-7843,5388204839832380
Sunset Inn,VERDADERO,50,2018,1,21,3,13,4,7,2,5,BB,Netherlands,FALSO,6,6,E,E,,No deposit,8,Transient,FALSO,5,Canceled,04-01-2019,Terry Breakey,tbreakeyd@dedecms.com,682-343-5884,6759450422275790000
Sunset Inn,VERDADERO,88,2015,11,7,41,23,8,6,4,3,HB,Palestinian Territory,FALSO,0,9,A,A,0,Cash deposit,7,Contract,VERDADERO,4,Check-Out,09.26.2017,Decca Hicks,dhickse@imgur.com,(104) 776-0841,4844166187273780
Golden Sands Hotel,VERDADERO,57,2019,7,27,28,29,10,1,4,4,HB,Costa Rica,VERDADERO,5,2,F,F,3,Credit card deposit,,Transient-Party,VERDADERO,2,No-Show,26-05-2019,Millisent Keech,mkeechf@biglobe.ne.jp,(633) 467-4270,5592693096095020
Grand Hotel,FALSO,85,2017,12,22,48,7,2,3,1,3,BB,Thailand,,8,0,C,C,3,Debit car deposit,7,Contract,FALSO,2,No-Show,06.18.2015,Heath Llorens,hllorensg@xing.com,172.697.9120,5338617672296700
Ocean Breeze Resort,FALSO,25,2016,5,23,20,11,4,7,3,,BB,Indonesia,FALSO,7,,A,A,5,Cash deposit,3,Transient,VERDADERO,,No-Show,25/01/2017,Fonz Lyles,flylesh@noaa.gov,+1 (465) 768-7743,50185975416462700
Golden Sands Hotel,FALSO,71,2018,9,6,33,7,2,5,3,2,HB,Bangladesh,VERDADERO,0,,C,C,8,Cash deposit,,Transient,VERDADERO,,Check-Out,12.20.2018,Liv Hawtin,lhawtini@gizmodo.com,929-282-5833,604262603072143000
Sunset Inn,VERDADERO,0,2015,6,26,24,2,0,7,1,1,BB,Russia,VERDADERO,1,9,D,D,0,No deposit,6,Contract,FALSO,0,Canceled,05.20.2015,Gerianna Tybalt,gtybaltj@unesco.org,+1 (510) 103-5718,5432183216987160
Grand Hotel,VERDADERO,83,2020,4,4,13,5,2,3,5,5,FB,Peru,VERDADERO,5,,G,G,6,Cash deposit,1,Transient-Party,FALSO,,No-Show,16-07-2016,Ethelind Rudd,eruddk@dyndns.org,603.955.8248,3540611412243180
Grand Hotel,VERDADERO,72,2019,1,4,1,9,2,5,1,3,BB,North Korea,VERDADERO,2,8,F,F,5,Credit card deposit,1,Transient,VERDADERO,9,No-Show,03.23.2016,Giacopo Bragginton,gbraggintonl@time.com,+1 (275) 518-4574,201554473682907
Sunset Inn,VERDADERO,6,2015,9,16,35,21,8,1,2,2,BB,Czech Republic,VERDADERO,6,0,C,C,7,Debit car deposit,2,Contract,VERDADERO,10,Canceled,10/04/2015,Felita Schroder,fschroderm@cbsnews.com,399-940-1386,3570140758041030
Sunset Inn,VERDADERO,78,2017,2,12,6,22,8,10,1,1,FB,Argentina,FALSO,6,0,A,A,,Debit car deposit,6,Contract,VERDADERO,0,No-Show,26/02/2016,Dollie Couth,dcouthn@jalbum.net,972-191-2380,3566353067424530
Grand Hotel,FALSO,12,2017,2,1,5,20,8,3,4,3,HB,Brazil,VERDADERO,5,2,F,F,,No deposit,,Transient-Party,FALSO,2,No-Show,15/02/2019,Arlen Gutherson,aguthersono@amazon.co.uk,156-509-4692,5002356728428680
Golden Sands Hotel,FALSO,63,2019,10,9,38,16,6,3,1,5,FB,Nigeria,FALSO,10,,F,F,5,Debit car deposit,6,Transient,FALSO,4,No-Show,07.21.2018,Marcelle Borghese,mborghesep@huffingtonpost.com,105-133-8251,3578721264861190
Sunset Inn,VERDADERO,1,2019,10,31,40,27,10,4,4,,BB,Vietnam,FALSO,10,3,A,A,,Cash deposit,8,Transient,FALSO,5,Canceled,21/06/2018,Nikki Purkins,npurkinsq@instagram.com,154.346.8866,3554361491274980
Grand Hotel,FALSO,38,2018,2,7,5,16,6,1,5,,HB,France,FALSO,8,4,C,C,8,Cash deposit,5,Transient,VERDADERO,4,Check-Out,25/02/2016,Earlie Summerbell,esummerbellr@tripadvisor.com,(718) 836-4393,6331108151838650
Ocean Breeze Resort,VERDADERO,92,2017,10,15,39,16,6,7,1,2,FB,Indonesia,VERDADERO,9,8,C,C,2,Debit car deposit,0,Transient-Party,FALSO,1,Check-Out,09.26.2017,Dyana Pounsett,dpounsetts@sbwire.com,995.592.7708,3557569583251740
Mountain View Lodge,FALSO,76,2016,6,6,21,3,0,1,3,,HB,China,FALSO,9,9,D,D,4,Cash deposit,7,Contract,VERDADERO,7,Canceled,05.19.2015,Ludovika Brettoner,lbrettonert@ucla.edu,756.595.4697,3577857866886200
Sunset Inn,FALSO,,2019,4,1,13,4,0,9,3,,FB,Chile,FALSO,10,0,F,F,7,No deposit,4,Transient-Party,FALSO,,Canceled,22-12-2016,Benoit Kreuzer,bkreuzeru@wix.com,248-007-3501,3545768596882790
Grand Hotel,FALSO,10,2020,12,17,48,1,0,5,2,5,FB,Yemen,FALSO,1,2,E,E,9,Cash deposit,8,Contract,,7,No-Show,05.26.2018,Nestor Huison,nhuisonv@google.pl,+1 (260) 721-3731,201657554828362
Sunset Inn,FALSO,39,2018,8,26,32,27,10,10,1,1,HB,Bulgaria,FALSO,3,,F,F,4,No deposit,6,Transient,FALSO,4,Check-Out,11/06/2017,Kelli Lashbrook,klashbrookw@ehow.com,(718) 845-0639,6759028231443800000
Grand Hotel,FALSO,47,2020,6,13,22,5,2,10,5,4,FB,China,FALSO,,7,D,D,9,Credit card deposit,5,Transient-Party,VERDADERO,1,No-Show,30/09/2017,Constantino Matous,cmatousx@hostgator.com,+1 (999) 118-9425,3577334748400610
Golden Sands Hotel,VERDADERO,,2015,11,6,41,29,10,9,5,,FB,Sweden,VERDADERO,7,5,E,E,,Credit card deposit,7,Transient-Party,VERDADERO,10,Canceled,07-11-2019,Eachelle Maypole,emaypoley@drupal.org,+1 (813) 984-7622,5002355756261310
Sunset Inn,FALSO,33,2017,8,17,31,29,10,7,,5,BB,Brazil,VERDADERO,8,8,C,C,9,Credit card deposit,9,Transient-Party,,2,No-Show,22/10/2015,Noel Paver,npaverz@usnews.com,948-311-0550,63044754236410700
Sunset Inn,VERDADERO,40,2015,9,10,34,10,4,5,3,2,HB,Panama,FALSO,3,10,F,F,5,No deposit,0,Transient,FALSO,1,Check-Out,06.24.2015,Gertrud Spark,gspark10@shutterfly.com,856.048.8977,490357287647539000
Grand Hotel,VERDADERO,86,2016,6,19,23,13,4,3,1,3,BB,Japan,FALSO,8,9,C,C,10,No deposit,3,Transient-Party,FALSO,9,Check-Out,08/12/2015,Beatriz Karpenko,bkarpenko11@google.nl,(399) 121-9379,604704873147305000
Golden Sands Hotel,FALSO,,2020,11,6,41,23,8,3,5,1,HB,Philippines,FALSO,5,,F,F,1,Credit card deposit,,Contract,FALSO,9,Check-Out,10.14.2019,Berk Starkie,bstarkie12@accuweather.com,+1 (635) 781-5395,3582099555062030
Golden Sands Hotel,FALSO,12,2016,2,1,5,13,4,5,,5,FB,Egypt,,6,0,F,F,5,Cash deposit,0,Transient,FALSO,4,Canceled,07.02.2017,Webb Clavering,wclavering13@com.com,419-780-7916,3574648563746270
Grand Hotel,VERDADERO,0,2020,12,1,48,27,10,8,,,BB,United States,VERDADERO,,6,C,C,0,Credit card deposit,,Transient-Party,,8,No-Show,12.20.2017,Galen Lamartine,glamartine14@fastcompany.com,522-463-3485,3552976032896060
Mountain View Lodge,VERDADERO,65,2019,9,12,34,18,6,10,3,5,FB,Sweden,VERDADERO,,6,A,A,2,Credit card deposit,10,Transient,VERDADERO,8,No-Show,03/06/2020,Dorrie Tolman,dtolman15@samsung.com,(531) 011-1680,3563798675671280
Ocean Breeze Resort,FALSO,41,2015,9,12,34,22,8,4,,4,FB,United States,FALSO,3,5,A,A,4,No deposit,1,Transient,,8,Canceled,08.07.2017,Alice Sprake,asprake16@sakura.ne.jp,(749) 942-7463,5038733202010470000
Sunset Inn,FALSO,42,2020,12,11,48,2,0,3,3,5,HB,China,VERDADERO,8,2,D,D,5,No deposit,8,Contract,VERDADERO,6,Canceled,01-07-2016,Romain Dorrity,rdorrity17@prlog.org,947.833.0353,5602224592994580
Golden Sands Hotel,VERDADERO,5,2016,4,5,13,13,4,1,2,3,HB,Brazil,VERDADERO,5,9,E,E,7,Cash deposit,8,Transient-Party,VERDADERO,10,Check-Out,07/01/2015,Alexina Torvey,atorvey18@macromedia.com,(212) 890-1471,3541657320660840
Golden Sands Hotel,FALSO,33,2017,6,26,24,8,2,3,5,,FB,Finland,VERDADERO,,3,F,F,0,Credit card deposit,9,Transient-Party,,5,Check-Out,24-08-2018,Elonore McNea,emcnea19@webs.com,838.273.5316,5602243179321300000
Golden Sands Hotel,VERDADERO,66,2020,8,28,32,13,4,5,1,2,FB,Panama,FALSO,9,3,C,C,4,Debit car deposit,9,Contract,FALSO,8,Canceled,30-05-2018,Bary Dall,bdall1a@bravesites.com,+1 (472) 955-5512,4508956085445730
Mountain View Lodge,FALSO,34,2020,11,27,44,23,8,7,5,2,HB,Russia,VERDADERO,8,,E,E,1,Credit card deposit,7,Transient,FALSO,1,Canceled,06-08-2019,Warren Bailes,wbailes1b@google.co.jp,+1 (718) 186-9850,5602230954963970
Golden Sands Hotel,VERDADERO,2,2017,9,23,36,8,2,4,4,3,HB,United States,VERDADERO,4,5,D,D,8,Cash deposit,,Transient,FALSO,3,Canceled,10.22.2019,Duane Game,dgame1c@mayoclinic.com,673.447.8612,63040501759977900
Golden Sands Hotel,FALSO,21,2016,6,23,24,16,6,8,2,,FB,Russia,FALSO,,0,E,E,1,Cash deposit,0,Transient-Party,VERDADERO,3,Canceled,11.13.2016,Ellen Ebbutt,eebbutt1d@ocn.ne.jp,417.735.6498,36934356929172
Sunset Inn,VERDADERO,79,2019,12,29,49,12,4,5,1,1,BB,Argentina,FALSO,8,,D,D,2,No deposit,4,Transient,,1,Check-Out,24/11/2018,Kent Ransome,kransome1e@squarespace.com,170.916.6116,5108753448564280
Sunset Inn,FALSO,83,2020,5,10,18,24,8,4,,3,BB,Portugal,FALSO,3,1,A,A,2,Debit car deposit,5,Contract,VERDADERO,4,No-Show,15-11-2019,Ludovika Beechcraft,lbeechcraft1f@smh.com.au,997.513.4991,3543206097858440
Grand Hotel,VERDADERO,35,2015,5,14,18,13,4,4,5,,HB,Poland,FALSO,3,2,C,C,8,Credit card deposit,3,Transient,VERDADERO,10,Canceled,25-02-2020,Lindi Zipsell,lzipsell1g@google.com.hk,(125) 709-0436,3564911296023740
Sunset Inn,FALSO,78,2019,2,6,5,18,6,1,2,,FB,Botswana,FALSO,10,,C,C,1,No deposit,3,Transient-Party,FALSO,2,Canceled,17-10-2016,Angie Atherton,aatherton1h@mlb.com,+1 (429) 012-7329,3533871993214070
Golden Sands Hotel,VERDADERO,87,2015,11,1,41,16,6,7,,5,HB,Thailand,VERDADERO,,9,A,A,8,No deposit,3,Transient,FALSO,7,Check-Out,30/10/2017,Gabbi Marquand,gmarquand1i@mit.edu,680-799-8594,3551750730084830
Mountain View Lodge,FALSO,,2016,6,5,21,20,8,10,,1,HB,Vietnam,FALSO,,2,C,C,6,Cash deposit,2,Contract,FALSO,2,No-Show,01.23.2016,Claybourne Deval,cdeval1j@washingtonpost.com,(314) 047-4629,3578689621950400
Ocean Breeze Resort,VERDADERO,6,2015,6,17,23,17,6,1,5,3,BB,Tanzania,FALSO,,0,G,G,5,No deposit,2,Transient,FALSO,,Check-Out,09.22.2018,Kellen Govinlock,kgovinlock1k@netlog.com,(771) 489-0612,5223693311994890
Golden Sands Hotel,FALSO,16,2020,9,22,36,20,8,9,2,2,BB,Mexico,VERDADERO,7,,F,F,5,Debit car deposit,4,Transient,,6,Check-Out,23/06/2015,Eugenio Hutchins,ehutchins1l@1688.com,(877) 635-8728,3532997927207220
Grand Hotel,VERDADERO,49,2016,9,8,34,7,2,2,3,,FB,Indonesia,,9,4,E,E,,Debit car deposit,6,Contract,FALSO,,Canceled,23/08/2020,Kiel Wigginton,kwigginton1m@aol.com,563.105.4649,6759760915189870
Grand Hotel,VERDADERO,21,2020,12,14,48,26,10,3,,4,HB,Argentina,FALSO,,6,A,A,6,No deposit,8,Contract,,1,Check-Out,11.11.2020,Lydon Emmanuel,lemmanuel1n@51.la,297-218-4869,3565045345070760
Grand Hotel,VERDADERO,88,2015,12,8,48,15,6,4,2,,HB,France,FALSO,9,,D,D,10,No deposit,9,Contract,FALSO,4,Canceled,20/05/2016,Bellina Thaxton,bthaxton1o@samsung.com,(687) 052-2434,633455137346093000
Sunset Inn,FALSO,33,2017,9,24,36,6,2,6,2,1,BB,Indonesia,VERDADERO,1,2,G,G,7,Credit card deposit,10,Contract,FALSO,4,Canceled,13-08-2020,Charla Rennels,crennels1p@globo.com,+1 (539) 550-4078,3532598418477180
Golden Sands Hotel,VERDADERO,9,2016,7,9,26,11,4,8,2,5,BB,China,VERDADERO,5,4,F,F,6,Debit car deposit,0,Transient-Party,VERDADERO,,Canceled,06.29.2015,Dalli Harme,dharme1q@youtu.be,+1 (886) 492-9072,337941273700566
Sunset Inn,FALSO,72,2017,1,31,4,4,0,4,5,3,HB,China,FALSO,10,7,E,E,6,Debit car deposit,8,Transient-Party,VERDADERO,1,Check-Out,12-09-2016,Rancell Pactat,rpactat1r@elegantthemes.com,835-392-2160,3586650182745020
Ocean Breeze Resort,VERDADERO,4,2018,6,23,24,29,10,10,2,5,FB,Libya,VERDADERO,6,9,A,A,8,Cash deposit,5,Contract,FALSO,0,Canceled,09.16.2017,Loutitia Durban,ldurban1s@squarespace.com,+1 (348) 604-4016,3536326793945170
Mountain View Lodge,FALSO,26,2017,6,4,21,29,10,3,4,3,HB,Argentina,FALSO,,4,A,A,10,Cash deposit,,Contract,FALSO,8,No-Show,18-10-2018,Elfie Antonsson,eantonsson1t@dropbox.com,823-400-0666,3544807726025720
Sunset Inn,FALSO,26,2016,11,5,41,28,10,7,5,5,FB,Indonesia,FALSO,,6,A,A,4,Credit card deposit,9,Contract,,2,Check-Out,31-12-2015,Flynn Newvill,fnewvill1u@cocolog-nifty.com,897-699-0643,3572474124764220
Grand Hotel,FALSO,20,2016,7,29,28,15,6,2,3,,HB,Estonia,FALSO,1,,D,D,3,Debit car deposit,0,Contract,VERDADERO,2,Canceled,13-12-2015,Gilemette Frankish,gfrankish1v@admin.ch,+1 (329) 737-4074,3553667306197290
Mountain View Lodge,VERDADERO,56,2016,3,30,12,20,8,2,2,1,FB,China,FALSO,,,F,F,2,Cash deposit,3,Transient-Party,FALSO,,No-Show,08/04/2017,Elfrieda Roycraft,eroycraft1w@go.com,+1 (784) 108-1754,30356001433895
Ocean Breeze Resort,FALSO,89,2015,12,25,49,1,0,4,1,5,HB,Trinidad and Tobago,FALSO,2,5,C,C,9,Credit card deposit,1,Transient-Party,FALSO,6,Check-Out,08-02-2019,Betta Fearn,bfearn1x@wired.com,547-572-4783,5434561066463060
Ocean Breeze Resort,FALSO,10,2019,12,21,48,23,8,7,,5,FB,China,FALSO,6,1,A,A,4,No deposit,4,Transient-Party,FALSO,3,Canceled,21/04/2017,Linzy Spyer,lspyer1y@storify.com,950.299.0077,56022564826998700
Ocean Breeze Resort,FALSO,76,2019,8,28,32,2,0,4,3,5,BB,Indonesia,FALSO,,2,E,E,1,Cash deposit,5,Transient,FALSO,2,Canceled,07.29.2016,Zea Duffan,zduffan1z@myspace.com,872.095.0419,3588908236806240
Ocean Breeze Resort,FALSO,50,2020,1,19,3,11,4,10,2,2,BB,China,VERDADERO,4,1,G,G,7,Cash deposit,5,Contract,FALSO,2,Check-Out,17/04/2020,Margarette Turney,mturney20@creativecommons.org,+1 (492) 023-3225,5533694883153680
Mountain View Lodge,FALSO,49,2018,5,20,19,10,4,1,5,4,BB,Japan,FALSO,,,F,F,10,No deposit,6,Contract,FALSO,7,No-Show,03/03/2018,Sebastian Beasant,sbeasant21@wunderground.com,(647) 255-8814,3585735289116850
Grand Hotel,VERDADERO,0,2018,4,14,14,20,8,5,5,4,HB,Ivory Coast,FALSO,3,4,G,G,8,Credit card deposit,,Transient,VERDADERO,0,Canceled,30-09-2020,Grange Espino,gespino22@ifeng.com,713-406-8803,5100138857030450
Sunset Inn,FALSO,9,2019,4,25,16,18,6,7,2,1,FB,Philippines,FALSO,3,1,D,D,1,No deposit,10,Transient-Party,FALSO,3,No-Show,15-09-2017,Truman MacMenemy,tmacmenemy23@wikimedia.org,727.411.0350,490352581882426000
Sunset Inn,FALSO,92,2020,2,19,7,2,0,9,1,,BB,Colombia,FALSO,10,6,A,A,0,Cash deposit,,Transient-Party,VERDADERO,4,No-Show,06/10/2015,Candi Brodley,cbrodley24@hhs.gov,181-007-0204,3585231977720120
Golden Sands Hotel,VERDADERO,16,2016,10,4,37,6,2,3,4,,BB,China,FALSO,5,,E,E,3,Credit card deposit,6,Transient,FALSO,2,Check-Out,02.26.2016,Sosanna Freeberne,sfreeberne25@bizjournals.com,209-558-3701,3562011277993520
Ocean Breeze Resort,VERDADERO,,2016,8,19,31,9,2,6,3,,FB,,FALSO,,9,F,F,4,No deposit,,Contract,VERDADERO,9,Canceled,07-08-2019,Katy Mazdon,kmazdon26@fotki.com,760.818.8896,201464840770957
Golden Sands Hotel,VERDADERO,98,2015,8,24,32,15,6,3,3,,BB,Russia,VERDADERO,7,8,F,F,4,Credit card deposit,6,Contract,VERDADERO,,Canceled,10.10.2019,Burton Franciottoi,bfranciottoi27@mit.edu,638-027-4672,30529844607624
Golden Sands Hotel,VERDADERO,37,2020,10,31,40,10,4,2,1,2,FB,Pakistan,FALSO,,3,E,E,7,No deposit,,Transient-Party,FALSO,,Canceled,20/11/2016,Mikel Olive,molive28@goodreads.com,+1 (384) 215-3544,5038362153307410000
Ocean Breeze Resort,VERDADERO,70,2020,2,11,6,27,10,9,4,2,FB,Yemen,FALSO,3,0,F,F,10,Cash deposit,4,Transient,VERDADERO,4,No-Show,11.14.2017,Prescott Evemy,pevemy29@gov.uk,(605) 811-0057,5523654637004430
Mountain View Lodge,VERDADERO,88,2020,10,25,40,6,2,6,1,3,HB,France,VERDADERO,4,2,A,A,2,Debit car deposit,,Transient-Party,FALSO,,Check-Out,25-11-2020,Bili Jolland,bjolland2a@zdnet.com,(439) 474-5065,3566957089888660
Mountain View Lodge,FALSO,68,2015,11,8,42,16,6,3,3,,FB,Estonia,FALSO,2,8,A,A,2,Credit card deposit,10,Transient,VERDADERO,7,No-Show,24-03-2015,Moll Geerling,mgeerling2b@yahoo.co.jp,(451) 982-7127,3553204014759160
Golden Sands Hotel,VERDADERO,3,2018,4,8,14,12,4,10,5,3,HB,Russia,FALSO,8,7,A,A,3,Debit car deposit,,Transient,VERDADERO,8,Check-Out,21-03-2015,Barrie Nimmo,bnimmo2c@dedecms.com,976-500-7366,5020545186699470000
Mountain View Lodge,FALSO,54,2016,6,21,23,29,10,3,5,2,BB,Iran,FALSO,6,3,G,G,2,Credit card deposit,10,Contract,FALSO,2,Canceled,29/06/2016,Binni Kinkade,bkinkade2d@mashable.com,868-374-6189,3571534062160970
Ocean Breeze Resort,FALSO,,2018,4,5,13,11,4,10,2,4,HB,Mexico,FALSO,9,10,G,G,2,Cash deposit,4,Contract,,2,Canceled,26-08-2016,Ginger Scallon,gscallon2e@furl.net,(763) 206-5591,4936645124080510000
Sunset Inn,FALSO,97,2017,9,28,36,25,10,3,2,1,HB,Brazil,VERDADERO,3,,E,E,8,Credit card deposit,8,Transient-Party,VERDADERO,1,No-Show,06/12/2019,Tarah Fratson,tfratson2f@is.gd,106.718.8959,3550916129865860
Sunset Inn,FALSO,25,2019,8,12,30,10,4,1,5,2,BB,Greece,VERDADERO,,4,D,D,5,Cash deposit,7,Contract,VERDADERO,8,No-Show,13/08/2015,Cathie Januszkiewicz,cjanuszkiewicz2g@hugedomains.com,+1 (826) 233-0420,4917632463716960
Mountain View Lodge,VERDADERO,56,2016,5,10,18,8,2,7,,2,BB,Egypt,FALSO,7,7,F,F,9,Debit car deposit,3,Transient-Party,VERDADERO,10,Canceled,05.11.2015,Tam Cromar,tcromar2h@merriam-webster.com,822.041.0289,374283221041072
Grand Hotel,FALSO,9,2018,5,1,17,4,0,9,3,2,FB,Indonesia,FALSO,,0,F,F,2,No deposit,6,Contract,FALSO,0,Check-Out,26/09/2017,Jacklyn Goulding,jgoulding2i@youtu.be,(411) 293-7274,3539552507155050
Grand Hotel,VERDADERO,24,2018,1,8,2,6,2,3,,1,HB,China,VERDADERO,8,5,D,D,10,Cash deposit,7,Transient-Party,VERDADERO,9,Check-Out,16-10-2016,Kathryne Milkin,kmilkin2j@tripod.com,351-875-6381,633385525318013000
Ocean Breeze Resort,VERDADERO,48,2015,8,24,32,22,8,9,2,1,BB,Armenia,,,,F,F,4,Cash deposit,,Contract,FALSO,1,Canceled,26/02/2020,Prudy Linnell,plinnell2k@eepurl.com,152-438-2170,3570535677136710
Sunset Inn,VERDADERO,7,2017,8,22,32,18,6,4,3,,BB,Indonesia,VERDADERO,10,10,D,D,5,Cash deposit,3,Contract,FALSO,7,Canceled,15-05-2018,Hebert Lohrensen,hlohrensen2l@elpais.com,723.982.4702,6389353593257400
Sunset Inn,VERDADERO,,2019,11,11,42,24,8,9,5,1,HB,,VERDADERO,7,3,E,E,7,Credit card deposit,2,Contract,VERDADERO,6,No-Show,10-01-2017,Quincy Don,qdon2m@aol.com,504-394-3011,3558229768653900
Grand Hotel,FALSO,17,2019,1,2,1,4,0,7,2,4,FB,Cameroon,FALSO,,6,C,C,1,Credit card deposit,5,Transient-Party,VERDADERO,7,No-Show,03.19.2016,Casandra Pratty,cpratty2n@smh.com.au,500-680-7843,3555585114924920
Grand Hotel,VERDADERO,68,2019,3,25,12,19,6,1,2,5,BB,Indonesia,FALSO,5,1,D,D,8,Cash deposit,5,Contract,VERDADERO,10,Canceled,11.10.2015,Francesco Burrass,fburrass2o@liveinternet.ru,+1 (622) 255-5575,6334868217361220
Golden Sands Hotel,VERDADERO,17,2019,1,9,2,20,8,1,3,,FB,Niger,VERDADERO,10,10,E,E,10,No deposit,1,Transient-Party,FALSO,6,Check-Out,20/10/2020,Cleveland Syrie,csyrie2p@amazonaws.com,339.202.1153,5602259743370980000
Mountain View Lodge,FALSO,18,2020,5,31,20,30,12,7,2,4,FB,France,VERDADERO,,8,C,C,2,Credit card deposit,7,Transient,VERDADERO,,Check-Out,16/02/2017,Pia Collard,pcollard2q@nhs.uk,310-976-9764,3574004429289240
Mountain View Lodge,FALSO,4,2016,11,19,43,6,2,9,2,3,HB,Indonesia,FALSO,1,10,A,A,,Cash deposit,0,Transient,FALSO,1,No-Show,14/08/2015,Neal McPake,nmcpake2r@dyndns.org,(322) 847-8617,3569867562151370
Sunset Inn,FALSO,18,2016,11,19,43,29,10,1,3,4,HB,Peru,,,7,E,E,5,Debit car deposit,5,Transient-Party,FALSO,,Check-Out,01.20.2019,Shermy O'Duilleain,soduilleain2s@cmu.edu,647-852-2652,67061023722516600
Grand Hotel,FALSO,83,2016,11,6,41,21,8,10,5,5,BB,Canada,FALSO,4,9,E,E,10,Credit card deposit,5,Transient,FALSO,4,Canceled,06-12-2018,Anissa Diamant,adiamant2t@about.com,249.168.7924,5010121011667620
Mountain View Lodge,VERDADERO,100,2020,10,12,38,8,2,8,3,3,BB,Ukraine,VERDADERO,,3,G,G,3,No deposit,9,Transient,VERDADERO,0,Canceled,10-09-2020,Filmer Yurkin,fyurkin2u@amazon.de,594.402.6939,3577771516569240
Mountain View Lodge,VERDADERO,70,2020,3,28,12,27,10,4,2,1,BB,Reunion,VERDADERO,6,4,G,G,7,Debit car deposit,10,Transient,VERDADERO,2,No-Show,20/02/2015,Wat Sisson,wsisson2v@ihg.com,(292) 058-0385,3588611174495930
